race,driver,team,grid_position,quali_position,driver_points,avg_track_temp,rainfall,avg_lap_gap,n_pitstops,dnf,finish_position,won
Bahrain,VER,Red Bull Racing,1.0,1.0,0.0,23.652866242038222,0,3.077150943396248,2,0,1.0,1
Bahrain,PER,Red Bull Racing,5.0,5.0,0.0,23.652866242038222,0,3.642309090909066,2,0,2.0,0
Bahrain,SAI,Ferrari,4.0,4.0,0.0,23.652866242038222,0,3.7012181818181915,2,0,3.0,0
Bahrain,LEC,Ferrari,2.0,2.0,0.0,23.652866242038222,0,3.855648148148134,2,0,4.0,0
Bahrain,RUS,Mercedes,3.0,3.0,0.0,23.652866242038222,0,4.042963636363623,2,0,5.0,0
Bahrain,NOR,McLaren,7.0,7.0,0.0,23.652866242038222,0,3.9913333333333156,2,0,6.0,0
Bahrain,HAM,Mercedes,9.0,9.0,0.0,23.652866242038222,0,4.027648148148145,2,0,7.0,0
Bahrain,PIA,McLaren,8.0,8.0,0.0,23.652866242038222,0,4.056981481481486,2,0,8.0,0
Bahrain,ALO,Aston Martin,6.0,6.0,0.0,23.652866242038222,0,4.394566037735842,2,0,9.0,0
Bahrain,STR,Aston Martin,12.0,12.0,0.0,23.652866242038222,0,4.675129629629652,2,0,10.0,0
Bahrain,ZHO,Kick Sauber,17.0,17.0,0.0,23.652866242038222,0,4.944754716981137,2,1,11.0,0
Bahrain,MAG,Haas F1 Team,15.0,15.0,0.0,23.652866242038222,0,4.983924528301884,2,1,12.0,0
Bahrain,RIC,RB,14.0,14.0,0.0,23.652866242038222,0,4.8815384615384545,2,1,13.0,0
Bahrain,TSU,RB,11.0,11.0,0.0,23.652866242038222,0,5.009622641509438,2,1,14.0,0
Bahrain,ALB,Williams,13.0,13.0,0.0,23.652866242038222,0,5.047981132075449,2,1,15.0,0
Bahrain,HUL,Haas F1 Team,10.0,10.0,0.0,23.652866242038222,0,4.374711538461526,3,1,16.0,0
Bahrain,OCO,Alpine,19.0,19.0,0.0,23.652866242038222,0,5.339150943396234,2,1,17.0,0
Bahrain,GAS,Alpine,20.0,20.0,0.0,23.652866242038222,0,4.796843137254896,3,1,18.0,0
Bahrain,BOT,Kick Sauber,16.0,16.0,0.0,23.652866242038222,0,5.179384615384606,2,1,19.0,0
Bahrain,SAR,Williams,18.0,18.0,0.0,23.652866242038222,0,4.904812499999991,3,1,20.0,0
Saudi Arabia,VER,Red Bull Racing,1.0,1.0,26.0,31.59315068493151,0,1.352595744680869,1,0,1.0,1
Saudi Arabia,PER,Red Bull Racing,3.0,3.0,18.0,31.59315068493151,0,1.5815319148936169,1,0,2.0,0
Saudi Arabia,LEC,Ferrari,2.0,2.0,12.0,31.59315068493151,0,1.8153829787233775,1,0,3.0,0
Saudi Arabia,PIA,McLaren,5.0,5.0,4.0,31.59315068493151,0,2.150744680851048,1,0,4.0,0
Saudi Arabia,ALO,Aston Martin,4.0,4.0,2.0,31.59315068493151,0,2.2379787234042396,1,0,5.0,0
Saudi Arabia,RUS,Mercedes,7.0,7.0,10.0,31.59315068493151,0,2.2562173913043466,1,0,6.0,0
Saudi Arabia,BEA,Ferrari,11.0,11.0,0.0,31.59315068493151,0,2.3996956521739037,1,0,7.0,0
Saudi Arabia,NOR,McLaren,6.0,6.0,8.0,31.59315068493151,0,2.0432222222222265,1,0,8.0,0
Saudi Arabia,HAM,Mercedes,8.0,8.0,6.0,31.59315068493151,0,2.1308666666666767,1,0,9.0,0
Saudi Arabia,HUL,Haas F1 Team,15.0,15.0,0.0,31.59315068493151,0,2.8428222222222246,1,0,10.0,0
Saudi Arabia,ALB,Williams,12.0,12.0,0.0,31.59315068493151,0,3.271555555555551,1,0,11.0,0
Saudi Arabia,MAG,Haas F1 Team,13.0,13.0,0.0,31.59315068493151,0,3.233888888888913,1,0,12.0,0
Saudi Arabia,OCO,Alpine,17.0,17.0,0.0,31.59315068493151,0,3.702866666666665,1,1,13.0,0
Saudi Arabia,SAR,Williams,19.0,19.0,0.0,31.59315068493151,0,3.632499999999993,1,1,14.0,0
Saudi Arabia,TSU,RB,9.0,9.0,0.0,31.59315068493151,0,3.65473333333334,1,1,15.0,0
Saudi Arabia,RIC,RB,14.0,14.0,0.0,31.59315068493151,0,3.7099534883720793,1,1,16.0,0
Saudi Arabia,BOT,Kick Sauber,16.0,16.0,0.0,31.59315068493151,0,3.5879534883720936,2,1,17.0,0
Saudi Arabia,ZHO,Kick Sauber,20.0,20.0,0.0,31.59315068493151,0,3.3878181818181616,1,1,18.0,0
Saudi Arabia,STR,Aston Martin,10.0,10.0,1.0,31.59315068493151,0,4.162750000000003,0,1,19.0,0
Saudi Arabia,GAS,Alpine,18.0,18.0,0.0,31.59315068493151,0,29.820999999999998,1,1,20.0,0
Australia,SAI,Ferrari,2.0,2.0,15.0,38.40208333333333,0,1.6453333333333262,2,0,1.0,1
Australia,LEC,Ferrari,4.0,5.0,28.0,38.40208333333333,0,1.678060000000002,2,0,2.0,0
Australia,NOR,McLaren,3.0,4.0,12.0,38.40208333333333,0,1.738979999999998,2,0,3.0,0
Australia,PIA,McLaren,5.0,6.0,16.0,38.40208333333333,0,2.0547399999999953,2,0,4.0,0
Australia,PER,Red Bull Racing,6.0,3.0,36.0,38.40208333333333,0,2.209639999999993,2,0,5.0,0
Australia,STR,Aston Martin,9.0,9.0,1.0,38.40208333333333,0,2.7969400000000064,2,0,6.0,0
Australia,TSU,RB,8.0,8.0,0.0,38.40208333333333,0,2.841940000000008,2,0,7.0,0
Australia,ALO,Aston Martin,10.0,10.0,12.0,38.40208333333333,0,2.6187843137254987,2,0,8.0,0
Australia,HUL,Haas F1 Team,16.0,16.0,1.0,38.40208333333333,0,3.0512156862745172,2,0,9.0,0
Australia,MAG,Haas F1 Team,14.0,14.0,0.0,38.40208333333333,0,3.07444000000001,2,1,10.0,0
Australia,ALB,Williams,12.0,12.0,0.0,38.40208333333333,0,3.1555800000000005,2,1,11.0,0
Australia,RIC,RB,18.0,18.0,0.0,38.40208333333333,0,3.076819999999998,2,1,12.0,0
Australia,GAS,Alpine,17.0,17.0,0.0,38.40208333333333,0,3.333420000000018,2,1,13.0,0
Australia,BOT,Kick Sauber,13.0,13.0,0.0,38.40208333333333,0,3.0249999999999915,2,1,14.0,0
Australia,ZHO,Kick Sauber,19.0,19.0,0.0,38.40208333333333,0,3.158122448979597,2,1,15.0,0
Australia,OCO,Alpine,15.0,15.0,0.0,38.40208333333333,0,3.084145833333338,3,1,16.0,0
Australia,RUS,Mercedes,7.0,7.0,18.0,38.40208333333333,0,2.5573061224489777,2,1,17.0,0
Australia,HAM,Mercedes,11.0,11.0,8.0,38.40208333333333,0,3.8700769230769083,1,1,18.0,0
Australia,VER,Red Bull Racing,1.0,1.0,51.0,38.40208333333333,0,5.077666666666673,1,1,19.0,0
Japan,VER,Red Bull Racing,1.0,1.0,51.0,37.50110497237569,0,2.390276595744666,3,0,1.0,1
Japan,PER,Red Bull Racing,2.0,2.0,46.0,37.50110497237569,0,2.669404255319151,3,0,2.0,0
Japan,SAI,Ferrari,4.0,4.0,40.0,37.50110497237569,0,2.796510638297903,3,0,3.0,0
Japan,LEC,Ferrari,8.0,8.0,47.0,37.50110497237569,0,3.212249999999983,2,0,4.0,0
Japan,NOR,McLaren,3.0,3.0,27.0,37.50110497237569,0,3.05058333333335,3,0,5.0,0
Japan,ALO,Aston Martin,5.0,5.0,16.0,37.50110497237569,0,3.3459166666666675,3,0,6.0,0
Japan,RUS,Mercedes,9.0,9.0,18.0,37.50110497237569,0,3.3535833333333187,3,0,7.0,0
Japan,PIA,McLaren,6.0,6.0,28.0,37.50110497237569,0,3.3440208333333317,3,0,8.0,0
Japan,HAM,Mercedes,7.0,7.0,8.0,37.50110497237569,0,3.2683043478260743,3,0,9.0,0
Japan,TSU,RB,10.0,10.0,6.0,37.50110497237569,0,4.3604680851063335,3,1,10.0,0
Japan,HUL,Haas F1 Team,12.0,12.0,3.0,37.50110497237569,0,4.287760869565204,3,1,11.0,0
Japan,STR,Aston Martin,16.0,16.0,9.0,37.50110497237569,0,4.234695652173926,4,1,12.0,0
Japan,MAG,Haas F1 Team,18.0,18.0,1.0,37.50110497237569,0,4.964416666666665,2,1,13.0,0
Japan,BOT,Kick Sauber,13.0,13.0,0.0,37.50110497237569,0,4.614382978723398,3,1,14.0,0
Japan,OCO,Alpine,15.0,15.0,0.0,37.50110497237569,0,5.155680851063835,3,1,15.0,0
Japan,GAS,Alpine,17.0,17.0,0.0,37.50110497237569,0,5.32182608695652,3,1,16.0,0
Japan,SAR,Williams,19.0,19.0,0.0,37.50110497237569,0,4.288931818181837,4,1,17.0,0
Japan,ZHO,Kick Sauber,20.0,20.0,0.0,37.50110497237569,0,6.074999999999974,4,1,18.0,0
Japan,RIC,RB,11.0,11.0,0.0,37.50110497237569,0,5.0,0,1,19.0,0
Japan,ALB,Williams,14.0,14.0,0.0,37.50110497237569,0,5.0,0,1,20.0,0
China,VER,Red Bull Racing,1.0,1.0,77.0,29.792727272727273,0,2.0084999999999837,2,0,1.0,1
China,NOR,McLaren,4.0,4.0,37.0,29.792727272727273,0,2.9838695652173755,1,0,2.0,0
China,PER,Red Bull Racing,2.0,2.0,64.0,29.792727272727273,0,2.7106046511627824,2,0,3.0,0
China,LEC,Ferrari,6.0,6.0,59.0,29.792727272727273,0,3.1691590909091047,1,0,4.0,0
China,SAI,Ferrari,7.0,7.0,55.0,29.792727272727273,0,3.3930000000000007,1,0,5.0,0
China,RUS,Mercedes,8.0,8.0,24.0,29.792727272727273,0,3.485511627906959,2,0,6.0,0
China,ALO,Aston Martin,3.0,3.0,24.0,29.792727272727273,0,3.019804878048774,3,0,7.0,0
China,PIA,McLaren,5.0,5.0,32.0,29.792727272727273,0,3.9104883720930133,2,0,8.0,0
China,HAM,Mercedes,18.0,18.0,10.0,29.792727272727273,0,4.078238095238106,2,0,9.0,0
China,HUL,Haas F1 Team,9.0,9.0,3.0,29.792727272727273,0,4.164883720930234,2,0,10.0,0
China,OCO,Alpine,13.0,13.0,0.0,29.792727272727273,0,4.130357142857122,2,0,11.0,0
China,ALB,Williams,14.0,14.0,0.0,29.792727272727273,0,4.3437142857142845,2,0,12.0,0
China,GAS,Alpine,15.0,15.0,0.0,29.792727272727273,0,3.716425000000001,3,0,13.0,0
China,ZHO,Kick Sauber,16.0,16.0,0.0,29.792727272727273,0,3.9665999999999997,3,0,14.0,0
China,STR,Aston Martin,11.0,11.0,9.0,29.792727272727273,0,3.7733953488372123,4,0,15.0,0
China,MAG,Haas F1 Team,17.0,17.0,1.0,29.792727272727273,0,4.768738095238064,2,0,16.0,0
China,SAR,Williams,20.0,20.0,0.0,29.792727272727273,0,4.8309761904761785,2,0,17.0,0
China,RIC,RB,12.0,12.0,0.0,29.792727272727273,0,5.348736842105254,2,1,18.0,0
China,TSU,RB,19.0,19.0,7.0,29.792727272727273,0,5.412777777777777,2,1,19.0,0
China,BOT,Kick Sauber,10.0,10.0,0.0,29.792727272727273,0,5.384666666666661,1,1,20.0,0
Miami,NOR,McLaren,5.0,5.0,55.0,44.664,0,1.4941176470588147,1,0,1.0,1
Miami,VER,Red Bull Racing,1.0,1.0,102.0,44.664,0,1.6067599999999942,1,0,2.0,0
Miami,LEC,Ferrari,2.0,2.0,71.0,44.664,0,1.6812448979591608,1,0,3.0,0
Miami,PER,Red Bull Racing,4.0,4.0,79.0,44.664,0,1.7959583333333313,2,0,4.0,0
Miami,SAI,Ferrari,3.0,3.0,65.0,44.664,0,1.8831568627450963,1,0,5.0,0
Miami,HAM,Mercedes,8.0,8.0,12.0,44.664,0,2.110395833333328,1,0,6.0,0
Miami,TSU,RB,10.0,10.0,7.0,44.664,0,2.4385400000000033,1,0,7.0,0
Miami,RUS,Mercedes,7.0,7.0,32.0,44.664,0,2.5806734693877615,1,0,8.0,0
Miami,ALO,Aston Martin,15.0,15.0,31.0,44.664,0,2.7371836734693886,1,0,9.0,0
Miami,OCO,Alpine,13.0,13.0,0.0,44.664,0,2.7054081632652895,1,0,10.0,0
Miami,HUL,Haas F1 Team,9.0,9.0,4.0,44.664,0,2.6056595744680635,2,0,11.0,0
Miami,GAS,Alpine,12.0,12.0,0.0,44.664,0,2.694106382978731,1,0,12.0,0
Miami,PIA,McLaren,6.0,6.0,36.0,44.664,0,1.9287708333333313,2,0,13.0,0
Miami,ZHO,Kick Sauber,19.0,20.0,0.0,44.664,0,2.9717755102040826,1,0,14.0,0
Miami,RIC,RB,20.0,18.0,0.0,44.664,0,3.0428367346938785,1,0,15.0,0
Miami,BOT,Kick Sauber,16.0,16.0,0.0,44.664,0,2.9003541666666592,2,0,16.0,0
Miami,STR,Aston Martin,11.0,11.0,9.0,44.664,0,2.6208936170212667,2,0,17.0,0
Miami,ALB,Williams,14.0,14.0,0.0,44.664,0,2.8046888888888617,2,0,18.0,0
Miami,MAG,Haas F1 Team,18.0,19.0,1.0,44.664,0,2.759265306122458,3,0,19.0,0
Miami,SAR,Williams,17.0,17.0,0.0,44.664,0,3.8151666666666557,1,1,20.0,0
Monaco,LEC,Ferrari,1.0,1.0,86.0,46.318000000000005,0,3.8842205882352943,1,0,1.0,1
Monaco,PIA,McLaren,2.0,2.0,36.0,46.318000000000005,0,4.171287671232889,1,0,2.0,0
Monaco,SAI,Ferrari,3.0,3.0,75.0,46.318000000000005,0,3.781661290322589,1,0,3.0,0
Monaco,NOR,McLaren,4.0,4.0,80.0,46.318000000000005,0,4.11944444444444,1,0,4.0,0
Monaco,RUS,Mercedes,5.0,5.0,36.0,46.318000000000005,0,3.8305384615384384,1,0,5.0,0
Monaco,VER,Red Bull Racing,6.0,6.0,120.0,46.318000000000005,0,3.228624999999994,2,0,6.0,0
Monaco,HAM,Mercedes,7.0,7.0,20.0,46.318000000000005,0,2.8538599999999974,2,0,7.0,0
Monaco,TSU,RB,8.0,8.0,13.0,46.318000000000005,0,4.038172413793092,1,1,8.0,0
Monaco,ALB,Williams,9.0,9.0,0.0,46.318000000000005,0,5.659594202898546,1,1,9.0,0
Monaco,GAS,Alpine,10.0,10.0,0.0,46.318000000000005,0,5.236176470588234,1,1,10.0,0
Monaco,ALO,Aston Martin,14.0,14.0,33.0,46.318000000000005,0,6.145114285714271,1,1,11.0,0
Monaco,RIC,RB,12.0,12.0,0.0,46.318000000000005,0,6.01086567164181,1,1,12.0,0
Monaco,BOT,Kick Sauber,17.0,17.0,0.0,46.318000000000005,0,5.601693548387104,2,1,13.0,0
Monaco,STR,Aston Martin,13.0,13.0,9.0,46.318000000000005,0,5.357437499999989,3,1,14.0,0
Monaco,SAR,Williams,15.0,15.0,0.0,46.318000000000005,0,4.559571428571417,2,1,15.0,0
Monaco,ZHO,Kick Sauber,18.0,18.0,0.0,46.318000000000005,0,4.072384615384607,2,1,16.0,0
Monaco,OCO,Alpine,11.0,11.0,1.0,46.318000000000005,0,5.0,0,1,17.0,0
Monaco,PER,Red Bull Racing,16.0,16.0,91.0,46.318000000000005,0,5.0,0,1,18.0,0
Monaco,HUL,Haas F1 Team,19.0,14.0,4.0,46.318000000000005,0,5.0,0,1,19.0,0
Monaco,MAG,Haas F1 Team,20.0,15.0,1.0,46.318000000000005,0,5.0,0,1,20.0,0
Canada,VER,Red Bull Racing,2.0,2.0,128.0,24.569911504424784,1,2.201888888888888,2,0,1.0,1
Canada,NOR,McLaren,3.0,3.0,92.0,24.569911504424784,1,2.284588235294123,2,0,2.0,0
Canada,RUS,Mercedes,1.0,1.0,46.0,24.569911504424784,1,2.1536875000000038,3,0,3.0,0
Canada,HAM,Mercedes,7.0,7.0,27.0,24.569911504424784,1,1.9449999999999932,3,0,4.0,0
Canada,PIA,McLaren,4.0,4.0,54.0,24.569911504424784,1,2.91166666666669,2,0,5.0,0
Canada,ALO,Aston Martin,6.0,6.0,33.0,24.569911504424784,1,3.018666666666661,2,0,6.0,0
Canada,STR,Aston Martin,9.0,9.0,9.0,24.569911504424784,1,3.647874999999999,2,0,7.0,0
Canada,RIC,RB,5.0,5.0,0.0,24.569911504424784,1,3.699187500000008,2,0,8.0,0
Canada,GAS,Alpine,15.0,15.0,1.0,24.569911504424784,1,4.079666666666668,2,0,9.0,0
Canada,OCO,Alpine,18.0,18.0,1.0,24.569911504424784,1,4.1857058823529485,1,0,10.0,0
Canada,HUL,Haas F1 Team,17.0,19.0,4.0,24.569911504424784,1,4.218388888888882,3,0,11.0,0
Canada,MAG,Haas F1 Team,14.0,14.0,1.0,24.569911504424784,1,3.497214285714307,4,0,12.0,0
Canada,BOT,Kick Sauber,19.0,17.0,0.0,24.569911504424784,1,4.819999999999993,1,0,13.0,0
Canada,TSU,RB,8.0,8.0,17.0,24.569911504424784,1,4.527375000000006,1,0,14.0,0
Canada,ZHO,Kick Sauber,20.0,20.0,0.0,24.569911504424784,1,4.520153846153875,3,1,15.0,0
Canada,SAI,Ferrari,12.0,12.0,90.0,24.569911504424784,1,6.096000000000004,3,1,16.0,0
Canada,ALB,Williams,10.0,10.0,2.0,24.569911504424784,1,6.699285714285708,2,1,17.0,0
Canada,PER,Red Bull Racing,16.0,16.0,91.0,24.569911504424784,1,6.070999999999998,3,1,18.0,0
Canada,LEC,Ferrari,11.0,11.0,111.0,24.569911504424784,1,13.311099999999996,4,1,19.0,0
Canada,SAR,Williams,13.0,13.0,0.0,24.569911504424784,1,14.238357142857154,0,1,20.0,0
Spain,VER,Red Bull Racing,2.0,2.0,153.0,41.096103896103905,1,2.5174838709677516,2,0,1.0,1
Spain,NOR,McLaren,1.0,1.0,110.0,41.096103896103905,1,2.483737704918042,2,0,2.0,0
Spain,HAM,Mercedes,3.0,3.0,40.0,41.096103896103905,1,2.7200000000000273,2,0,3.0,0
Spain,RUS,Mercedes,4.0,4.0,61.0,41.096103896103905,1,2.7756451612903277,2,0,4.0,0
Spain,LEC,Ferrari,5.0,5.0,111.0,41.096103896103905,1,2.761016393442631,2,0,5.0,0
Spain,SAI,Ferrari,6.0,6.0,90.0,41.096103896103905,1,2.934790322580639,2,0,6.0,0
Spain,PIA,McLaren,9.0,10.0,64.0,41.096103896103905,1,2.8661639344262255,2,0,7.0,0
Spain,PER,Red Bull Racing,11.0,8.0,91.0,41.096103896103905,1,3.009683333333328,3,0,8.0,0
Spain,GAS,Alpine,7.0,7.0,3.0,41.096103896103905,1,3.284327868852472,2,0,9.0,0
Spain,OCO,Alpine,8.0,9.0,2.0,41.096103896103905,1,3.4816065573770487,2,0,10.0,0
Spain,HUL,Haas F1 Team,13.0,13.0,4.0,41.096103896103905,1,3.4522786885245864,2,0,11.0,0
Spain,ALO,Aston Martin,10.0,11.0,41.0,41.096103896103905,1,3.7877833333333655,2,1,12.0,0
Spain,ZHO,Kick Sauber,15.0,15.0,0.0,41.096103896103905,1,3.7667333333333346,2,1,13.0,0
Spain,STR,Aston Martin,14.0,14.0,15.0,41.096103896103905,1,3.9466000000000037,2,1,14.0,0
Spain,RIC,RB,18.0,18.0,4.0,41.096103896103905,1,4.276606557377065,2,1,15.0,0
Spain,BOT,Kick Sauber,12.0,12.0,0.0,41.096103896103905,1,4.448116666666678,2,1,16.0,0
Spain,MAG,Haas F1 Team,16.0,16.0,1.0,41.096103896103905,1,4.364999999999981,2,1,17.0,0
Spain,ALB,Williams,20.0,19.0,2.0,41.096103896103905,1,4.316322033898302,2,1,18.0,0
Spain,TSU,RB,17.0,17.0,17.0,41.096103896103905,1,4.197862068965534,3,1,19.0,0
Spain,SAR,Williams,19.0,20.0,0.0,41.096103896103905,1,4.938694915254246,2,1,20.0,0
Austria,RUS,Mercedes,3.0,3.0,73.0,46.420979020979026,1,2.733507692307697,2,0,1.0,1
Austria,PIA,McLaren,7.0,7.0,70.0,46.420979020979026,1,2.768215384615374,2,0,2.0,0
Austria,SAI,Ferrari,4.0,4.0,98.0,46.420979020979026,1,2.7933846153846105,2,0,3.0,0
Austria,HAM,Mercedes,5.0,5.0,55.0,46.420979020979026,1,3.0036249999999995,2,0,4.0,0
Austria,VER,Red Bull Racing,1.0,1.0,178.0,46.420979020979026,1,2.417156249999991,3,0,5.0,0
Austria,HUL,Haas F1 Team,9.0,9.0,4.0,46.420979020979026,1,3.5479393939393873,2,0,6.0,0
Austria,PER,Red Bull Racing,8.0,8.0,95.0,46.420979020979026,1,3.3627812499999976,2,0,7.0,0
Austria,MAG,Haas F1 Team,12.0,12.0,1.0,46.420979020979026,1,3.5805538461538475,2,0,8.0,0
Austria,RIC,RB,11.0,11.0,4.0,46.420979020979026,1,3.685880597014915,2,0,9.0,0
Austria,GAS,Alpine,13.0,13.0,5.0,46.420979020979026,1,3.57661538461538,2,0,10.0,0
Austria,LEC,Ferrari,6.0,6.0,121.0,46.420979020979026,1,2.9262698412698285,4,0,11.0,0
Austria,OCO,Alpine,10.0,10.0,3.0,46.420979020979026,1,3.6706461538461355,2,0,12.0,0
Austria,STR,Aston Martin,17.0,17.0,15.0,46.420979020979026,1,3.8814769230769173,2,1,13.0,0
Austria,TSU,RB,14.0,14.0,17.0,46.420979020979026,1,3.880046153846152,2,1,14.0,0
Austria,ALB,Williams,16.0,16.0,2.0,46.420979020979026,1,3.861892307692301,2,1,15.0,0
Austria,BOT,Kick Sauber,18.0,18.0,0.0,46.420979020979026,1,3.9922307692307726,2,1,16.0,0
Austria,ZHO,Kick Sauber,20.0,20.0,0.0,46.420979020979026,1,4.193467741935464,2,1,17.0,0
Austria,ALO,Aston Martin,15.0,15.0,41.0,46.420979020979026,1,3.707017543859635,3,1,18.0,0
Austria,SAR,Williams,19.0,19.0,0.0,46.420979020979026,1,4.343629032258036,3,1,19.0,0
Austria,NOR,McLaren,2.0,2.0,129.0,46.420979020979026,1,2.543827586206902,3,1,20.0,0
Britain,HAM,Mercedes,2.0,2.0,67.0,27.670068027210885,1,2.9025714285714344,2,0,1.0,1
Britain,VER,Red Bull Racing,4.0,4.0,188.0,27.670068027210885,1,2.688656250000008,2,0,2.0,0
Britain,NOR,McLaren,3.0,3.0,129.0,27.670068027210885,1,3.061117647058836,2,0,3.0,0
Britain,PIA,McLaren,5.0,5.0,88.0,27.670068027210885,1,2.8092285714285765,2,0,4.0,0
Britain,SAI,Ferrari,7.0,7.0,113.0,27.670068027210885,1,3.206249999999983,3,0,5.0,0
Britain,HUL,Haas F1 Team,6.0,6.0,12.0,27.670068027210885,1,3.84076470588235,2,0,6.0,0
Britain,STR,Aston Martin,8.0,8.0,15.0,27.670068027210885,1,3.78838235294117,2,0,7.0,0
Britain,ALO,Aston Martin,10.0,10.0,41.0,27.670068027210885,1,3.8113714285714195,2,0,8.0,0
Britain,ALB,Williams,9.0,9.0,2.0,27.670068027210885,1,3.8809428571428555,2,0,9.0,0
Britain,TSU,RB,13.0,13.0,17.0,27.670068027210885,1,4.238914285714301,2,0,10.0,0
Britain,SAR,Williams,12.0,12.0,0.0,27.670068027210885,1,4.348222222222219,2,0,11.0,0
Britain,MAG,Haas F1 Team,17.0,17.0,5.0,27.670068027210885,1,4.336162162162154,2,0,12.0,0
Britain,RIC,RB,15.0,15.0,6.0,27.670068027210885,1,4.77947058823527,2,1,13.0,0
Britain,LEC,Ferrari,11.0,11.0,121.0,27.670068027210885,1,3.5423999999999864,3,1,14.0,0
Britain,BOT,Kick Sauber,16.0,16.0,0.0,27.670068027210885,1,5.298352941176489,2,1,15.0,0
Britain,OCO,Alpine,18.0,18.0,3.0,27.670068027210885,1,5.038555555555561,4,1,16.0,0
Britain,PER,Red Bull Racing,20.0,19.0,101.0,27.670068027210885,1,3.965148148148131,4,1,17.0,0
Britain,ZHO,Kick Sauber,14.0,14.0,0.0,27.670068027210885,1,4.74942307692308,4,1,18.0,0
Britain,RUS,Mercedes,1.0,1.0,98.0,27.670068027210885,1,3.9993913043478386,2,1,19.0,0
Britain,GAS,Alpine,19.0,20.0,6.0,27.670068027210885,1,5.0,0,1,20.0,0
Hungary,PIA,McLaren,2.0,2.0,100.0,44.91612903225806,0,3.1968529411764592,2,0,1.0,1
Hungary,NOR,McLaren,1.0,1.0,144.0,44.91612903225806,0,3.187283582089549,2,0,2.0,0
Hungary,HAM,Mercedes,5.0,5.0,92.0,44.91612903225806,0,3.356104477611936,2,0,3.0,0
Hungary,LEC,Ferrari,6.0,6.0,121.0,44.91612903225806,0,3.390716417910454,2,0,4.0,0
Hungary,VER,Red Bull Racing,3.0,3.0,206.0,44.91612903225806,0,3.360369230769223,2,0,5.0,0
Hungary,SAI,Ferrari,4.0,4.0,124.0,44.91612903225806,0,3.3200461538461497,2,0,6.0,0
Hungary,PER,Red Bull Racing,16.0,16.0,101.0,44.91612903225806,0,3.4895538461538536,2,0,7.0,0
Hungary,RUS,Mercedes,17.0,17.0,98.0,44.91612903225806,0,3.361677966101695,2,0,8.0,0
Hungary,TSU,RB,10.0,10.0,18.0,44.91612903225806,0,4.438323529411761,1,0,9.0,0
Hungary,STR,Aston Martin,8.0,8.0,21.0,44.91612903225806,0,4.175940298507456,2,0,10.0,0
Hungary,ALO,Aston Martin,7.0,7.0,45.0,44.91612903225806,0,4.298761194029851,2,0,11.0,0
